Sentence,Tense,Verb
well you give him the pen,1,give
Adam dropped the pencil,2,dropped
careful Adam,0,None
a fish,0,None
what kind of fish,0,None
swim with you,0,None
that's a circle,1,s
what's that,1,s
oh his spurs,1,spurs
what is it,1,is
what,0,None
it's a clown he said,2,s
he said,2,said
Adam's busy,1,s
what is Adam busy doing,1,is
you're busy at home,1,s
rope for tricks,0,None
a what,0,None
did you reach the towel,2,did
what is this,1,is
yes what is it,1,is
rope,0,None
coat hanger,0,None
I can't see,1,can't
I don't know,1,don't
looks like an a what is it,1,looks
what is it,1,is
like penguins,0,None
penguins don't fly do they,1,don't
do they,1,do
they do fly,1,do
no they don't fly I don't think,1,don't
I don't think,1,don't
no they don't,1,don't
hm,0,None
no a tiger doesn't fly does he,1,doesn't
does he,1,does 
no he can't fly like a kite,1,can't
what did the book say that penguins can't fly,2,did
that penguins can't fly,1,can't
penguins can't fly,1,can't
you're going in the water,1,re
in the water,0,None
careful too cold to go in the water now,0,None
cold outside yes,0,None
yes the wind's blowing,1,s
did you see all the snow,2,did
drummer show,0,None
oh look up the cowboy's hat,1,look
didn't you go out in the snow,2,didn't
you didn't go for a walk in the snow,2,didn't
did you go over to the library in the snow,2,did
and ride the elevator,1,ride
oh like Joshua,0,None
you threw some snow like Joshua,2,threw
Joshua throws like a penguin,1,throws
penguins can't throw can they,1,can't
can they,1,can 
yes they are big and heavy,1,are
listen to you,1,listen
what are you saying,1,are
yes I see you,1,see
do you see me,1,do
it's how I wonder what you are,1,s
how I wonder what you are,1,wonder
what you are,1,are
what are you doing to the paper,1,are
here we are,1,are
oh he gave you some candy,2,gave
what,0,None
what am I doing,1,am
I'm not doing anything,1,m
what are you doing,1,are
you're playing with Urs,1,re
no Adam,0,None
what kind of pinwheel,0,None
why do you have so many pinwheels,1,do
you have fourteen,1,have
well careful,0,None
what is that,1,is
pushing what,0,None
pushing the door,0,None
what before,0,None
Jesus,0,None
what is that,1,is
Butch,0,None
Butch,0,None
Butch who,0,None
oh Bozo's Butch,0,None
Butch is a little boy who plays with Bozo the clown,1,is
who plays with Bozo the clown,1,plays
that's Butch's bed,1,s
careful,0,None
that's what,1,s
Butch's hat,0,None
Rusty's hat,0,None
what kind of hat does Rusty have,1,does
a blue hat,0,None
yes,0,None
is that true,1,is
what am I doing,1,am
go ask Cromer if he would like a cup of coffee,1,go
if he would like a cup of coffee,1,would
oh thank you,1,thank
that's Adam's,1,s
well you're not going to have coffee,3,re not going to
no I'm going to bring it in there Adam,3,m going to
wait you hafta ask him first,1,wait
you hafta ask him first,1,hafta
well you don't want milk in your orange juice,1,don't
now Adam let's put yours here,1,let's
you sit on the other side of the table,1,sit
what is Ursula's,1,is
are you drinking your coffee,1,are
poor Ursula,0,None
yes he spilled something on his hands,2,spilled
who drinks coffee like that,1,drinks
what do you have,1,do
you have sugar in there,1,have
and what else,0,None
oh well you've got milk in your juice,1,ve
I don't think that would be very good really,1,don't
that would be very good really,1,would
no,0,None
what kind of exercise is that,1,is
you're exercising,1,re
what about Hump Dump,0,None
let you reach what,1,let
more what,0,None
more juice,0,None
I don't know,1,don't
what did happen to you,2,did
you fell down,2,fell
did you hurt yourself,2,did
oh where did you hurt yourself,2,did
push,1,push
what are you going to push,3,are you going to
don't spill your coffee,1,don't
what,0,None
you're going around,1,re
what happens when you go around like that,1,happens
when you go around like that,1,go
careful Adam the coffee's hot,1,s
your what,0,None
what's the matter with you,1,s
excuse you please,1,excuse
why were you talking like that,2,were
oh your tummy made a noise,2,made
let Adam stir you,1,let
do I wanna be stirred,1,do
no,0,None
being stirred doesn't make you big strong and healthy,1,doesn't
no thank you,1,thank
I don't want milk over me,1,don't
he doesn't wanna exercise,1,doesn't
no honey,0,None
Adam,0,None
take a bath exercise play,1,take
is it alright if he drinks his coffee now,1,is 
if he drinks his coffee now,1,drinks
well he can't exercise like you,1,can't
you made it,2,made
alright,0,None
Adam you write on one side of the paper remember,1,write
with gas,0,None
advertisement,0,None
Adam,0,None
don't be so rough with the pen,1,be
what are they,1,are
what is that,1,is
is that Adam,1,is
what is that,1,is
what,0,None
what,0,None
today isn't Thursday,1,isn't
what is today,1,isn't
Wednesday,0,None
what comes after Wednesday,1,comes
what happens now,1,happens
you'd like more coffee,1,d
okay,0,None
more coffee,0,None
whose what is that,1,is
sugar,0,None
two Adam,0,None
where's the other Adam,1,s
you don't know,1,don't
put your coffee down,1,put
stir that,1,stir
little what,0,None
one leg,0,None
watch,1,watch
what's the matter with your eye,1,s
you're riding over the rocks,1,re
I don't know what happened,1,don't
you're going to ride over the rocks,3,re going to
coming what,0,None
what happens when you go around like that for a long time,1,happens
when you go around like that for a long time,1,go
why do you have your mouth open,1,do
what's that noise,1,s
ride over the rug,1,ride
that's right,1,s
it's been a long time,1,s
oh you ran out_of gas,2,ran
you hafta push it now,1,hafta
oh did you pay him,2,did
you mustn't drive off until you get your change,1,mustn't
until you get your change,1,get
did you ask her if she's finished,2,did
yes I'm finished,2,m
thank you,1,thank
Adam you can ask Cromer if he's finished,1,can
if he's finished,1,s
you don't put gas in the wheel in the tire you put air,1,don't
in the tire you put air,1,put
don't forget to pay him,1,don't
take care,1,take
that's Mommy,1,s
what,0,None
hit Mommy,1,hit
don't whisper,1,don't
what are you doing,1,are
oh you're busy,1,re
oh what're you doing,1,re
you're checking the wheels,1,re
are they alright,1,are
oh through that,0,None
that's a gas station,1,s
are they all going around,1,are
well that's just your tricycle,1,s
yes it's squeaking,1,s
yes you did,2,did
measles,0,None
sick yes,0,None
why don't you ask her what the measles look like,1,don't
what the measles look like,1,look
came from the dog,2,came
he has a dog named Spot,1,has
your tire is broken,1,is
over there,0,None
you must go over there,1,must
why,0,None
what happened,2,happened
you almost fell down,2,fell
what,0,None
the tire is broken,1,is
you almost fell down because you weren't looking where you were going,2,fell
because you weren't looking where you were going,2,weren't
where you were going,2,were
you almost rode over a stick,2,rode
because a nail's in there,1,s
well what do you want him to do,1,do
let you sit on the tire,1,let
well didn't you say there was a nail in there,2,didn't
there was a nail in there,2,was
you what,0,None
you touched Cromer,2,touched
no you didn't,2,didn't
you hit your handle bar on your tricycle,2,hit
well you don't needta push,1,don't
you just got some gas in it,1,got
did you pay for the gas,2,did
did you,2,did
he said stamps,2,said
good bye you take came,1,take
alright,0,None
oh don't do that,1,don't
my_goodness,0,None
we'll hafta have the doctor take care of my foot if you run over it with your tricycle,3,ll 
if you run over it with your tricycle,1,run
doctor yes,0,None
don't you think you're finished,1,don't
you're finished,1,re
don't you think you've had enough,1,don't
you've had enough,1,ve
are you sure,1,are
you don't have enough,1,don't
no you just take the cup,1,take
don't drink it,1,don't 
yeah little boys like you,1,like
what,0,None
it's,0,None
is that what she said,2,is
what she said,2,said
tie your shoe,1,tie
let Cromer tie it,1,let
well I've tied it now,1,ve
it's alright,1,s
oh no he's writing,1,s
Adam no,0,None
that doesn't belong under there does it,1,doesn't
does it,1,does
Adam,0,None
Adam,0,None
Adam,0,None
alright you're seeing the penguin,1,re
take the spoon out before you tear that,1,take
before you tear that,1,tear
no Adam you'll tear that,3,ll
Daddy's desk isn't a toy is it,1,isn't
is it,1,is
why don't you go tell Urs and Cromer about the ice cone you had in the car,1,don't
the ice cone you had in the car,2,had
so there,0,None
what else did you do,2,did
did you see a bridge,2,did
what else,0,None
what else did you see,2,did
what else,0,None
what else did you see,2,did
you saw an open can,2,saw
what kind of can,0,None
I wasn't smiling,2,wasn't
it's the telephone,1,s
yes he is over at the school,1,is
I'm sure he'll probably see it,2,m
he'll probably see it,3,ll
what about Urs,0,None
was that Urs on the phone,2,was
and quickly,0,None
perhaps she doesn't have anything for you to see in the bag,1,doesn't
what is that,1,is
thimble,0,None
card for you,0,None
no it's from Robin,1,s
measles,0,None
measles yes,0,None
no I don't think she has anything else to show you,1,don't
she has anything else to show you,1,has
he's going to play basketball,1,s going to
oh that's too big,1,s
that's big too,1,s
oh I'm sure it must be down in there,1,m 
it must be down in there,1,must
why do you need those on the tow truck,1,do
for what,0,None
I thought you said they belonged on your firetruck on your tow truck,2,thought
you said they belonged on your firetruck on your tow truck,2,said
they belonged on your firetruck on your tow truck,2,belonged
I don't know,1,don't
what happened,2,happened
what happened,2,happened
don't fell down,1,don't
what doctor are you going to,1,are
do you think you car ride like that Adam,1,do
you car ride like that Adam,1,ride
you're going to fix the tricycle,3,re going to 
mhm,0,None
well if you know how why don't you do it,1,know
why don't you do it,1,don't
bulldozer song,0,None
what does a bulldozer say,1,does
bulldozer strong,0,None
can you sing it,1,can
well what is the bulldozer song,1,is
would you like her to go to the doctor,1,would
what doctor would you like her to go to,1,would
go where,1,go
now the tricycle is fixed,1,is
don't run it over her again,1,don't
did you say thank you,2,did
you're giving Perro a ride,1,re
does he like it,1,does
what about the tire,0,None
push tire,1,push
Adam,0,None
cat,0,None
three six,0,None
three six ears,0,None
how many ears do you have,1,do
here's one,1,s
ship,0,None
going to fish school,0,None
what does it learn at fish school,1,does
no fish school,0,None
Adam if you write all over the paper where will Urs write,3,write
where will Urs write,3,will
you're doing what,1,re
she hasn't finished with that page,1,hasn't
what is that,1,is
remember firetruck,1,remember
what,0,None
what is that,1,is
a what,0,None
a rope,0,None
let you make a rope,1,let
you made it,2,made
what do you do with this rope,1,do
Adam,0,None
that's not a story,1,s
what's he looking at,1,s
no Adam don't stand on his foot,1,don't
that hurts,1,hurts
here stand on the cart,1,stand
would you like for him to stand on your foot,1,would
you what,0,None
what are you doing,1,are
what do you call that,1,do
push it over near the table,1,push
I don't know what happened,2,don't
